time,position_x,position_y,position_z,quaternion_x,quaternion_y,quaternion_z,quaternion_w,joint_LW_J_Pitch,joint_RW_J_Pitch,joint_LW_J_Flap,joint_RW_J_Flap
6.85,0,0,0,0,0,0,1,7.52839,10.8272,7.89417,11.4507
6.9,0,0,0,0,0,0,1,7.16628,9.6208,7.28484,10.4422
6.95,0,0,0,0,0,0,1,5.5846,7.75539,5.37121,8.57574
7,0,0,0,0,0,0,1,3.90516,5.55745,3.74541,5.8239
7.05,0,0,0,0,0,0,1,1.92324,4.24784,1.94734,4.12029
7.1,0,0,0,0,0,0,1,0.629399,4.12696,0.83326,3.89096
7.15,0,0,0,0,0,0,1,0.783406,5.05754,1.09557,4.82583
7.2,0,0,0,0,0,0,1,2.20122,7.12053,2.30388,7.17223
7.25,0,0,0,0,0,0,1,4.45643,8.78957,4.07525,9.45867
7.3,0,0,0,0,0,0,1,7.03727,10.2233,6.08292,11.0858
7.35,0,0,0,0,0,0,1,7.93828,10.7563,7.04339,11.3392
7.4,0,0,0,0,0,0,1,7.22092,9.58126,6.24637,10.09
7.45,0,0,0,0,0,0,1,5.50397,7.61054,4.54236,8.10836
7.5,0,0,0,0,0,0,1,3.57298,5.36663,3.09634,5.52034
7.55,0,0,0,0,0,0,1,1.6486,4.1982,1.4084,4.06606
7.6,0,0,0,0,0,0,1,0.202434,4.1736,0.251318,3.86896
7.65,0,0,0,0,0,0,1,0.729961,5.30787,1.04377,5.01142
7.7,0,0,0,0,0,0,1,2.24181,7.34619,2.43632,7.46654
7.75,0,0,0,0,0,0,1,4.46128,8.92645,4.27279,9.75601
7.8,0,0,0,0,0,0,1,6.99937,10.3168,6.34885,11.4257
7.85,0,0,0,0,0,0,1,4.44248,15.5279,6.54733,15.3499
7.9,0,0,0,0,0,0,1,7.19022,15.9479,8.2232,14.3645
7.95,0,0,0,0,0,0,1,3.51233,15.3254,5.62413,14.5837
8,0,0,0,0,0,0,1,5.82936,11.6949,6.34147,13.9273
8.05,0,0,0,0,0,0,1,4.68756,9.20197,6.46267,14.5954
8.1,0,0,0,0,0,0,1,5.89132,8.65671,6.99663,13.9727
8.15,0,0,0,0,0,0,1,6.51773,10.2486,7.72659,13.5591
8.2,0,0,0,0,0,0,1,6.45754,10.1593,9.0252,16.0698
8.25,0,0,0,0,0,0,1,5.87334,11.7322,8.25433,17.7516
8.3,0,0,0,0,0,0,1,4.76082,13.4652,5.92347,17.0507
8.35,0,0,0,0,0,0,1,7.16017,14.9025,6.19507,16.4362
8.4,0,0,0,0,0,0,1,7.18365,15.1656,5.57486,16.1409
8.45,0,0,0,0,0,0,1,5.54192,14.2639,5.8316,14.0157
8.5,0,0,0,0,0,0,1,5.62077,12.1341,6.3736,11.8327
8.55,0,0,0,0,0,0,1,7.00285,10.7387,6.03961,9.93597
8.6,0,0,0,0,0,0,1,6.2985,10.3111,5.55138,7.40857
8.65,0,0,0,0,0,0,1,6.71463,11.9796,6.76729,7.21665
8.7,0,0,0,0,0,0,1,6.30655,12.7997,6.49372,9.18456
8.75,0,0,0,0,0,0,1,6.45191,15.6978,6.7042,11.305
8.8,0,0,0,0,0,0,1,6.42879,18.1785,6.61439,12.8946
8.85,0,0,0,0,0,0,1,6.44291,18.1845,6.09713,14.3616
8.9,0,0,0,0,0,0,1,6.3373,17.7557,5.94481,15.1886
8.95,0,0,0,0,0,0,1,5.88209,15.812,6.23294,13.8658
9,0,0,0,0,0,0,1,5.94902,12.4937,6.03499,12.907
9.05,0,0,0,0,0,0,1,6.3826,10.3786,6.17179,11.3562
9.1,0,0,0,0,0,0,1,6.13294,9.00532,6.33192,8.94711
9.15,0,0,0,0,0,0,1,6.47652,9.66934,6.31724,9.9115
9.2,0,0,0,0,0,0,1,6.55166,10.8762,6.53592,11.0095
9.25,0,0,0,0,0,0,1,6.50878,11.8888,6.48434,13.4167
9.3,0,0,0,0,0,0,1,6.51069,13.4848,6.29932,16.2845
9.35,0,0,0,0,0,0,1,6.1435,15.0871,6.44659,16.291
9.4,0,0,0,0,0,0,1,6.22347,15.4027,6.07713,15.9897
9.45,0,0,0,0,0,0,1,5.17305,14.2245,5.56399,14.3207
9.5,0,0,0,0,0,0,1,3.78257,10.9972,5.07682,13.1346
